doc_id,split,f1_small,f1_large,gap,cost_small,cost_large,tier_label
receipt_00036,train,0.6667,0.7059,0.0392,0.003272,0.009234,large-required
receipt_00037,train,0.1429,0.1429,0.0,0.002346,0.006201,small-sufficient
receipt_00038,train,0.3333,0.3333,0.0,0.002189,0.00585,small-sufficient
receipt_00039,train,0.2222,0.25,0.0278,0.002043,0.005172,large-required
receipt_00040,train,0.3333,0.3636,0.0303,0.003209,0.007485,large-required
receipt_00041,train,0.25,0.2353,-0.0147,0.00215,0.006798,small-sufficient
receipt_00042,train,0.375,0.375,0.0,0.002504,0.006555,small-sufficient
receipt_00043,train,0.6,0.6,0.0,0.002371,0.007116,small-sufficient
receipt_00044,train,0.6818,0.7143,0.0325,0.004546,0.010296,large-required
receipt_00045,train,0.2222,0.3,0.0778,0.002442,0.006939,large-required
receipt_00046,train,0.2222,0.3333,0.1111,0.002666,0.006906,large-required
receipt_00047,train,0.4,0.4,0.0,0.002035,0.005403,small-sufficient
receipt_00048,train,0.6522,0.6818,0.0296,0.003772,0.011094,large-required
receipt_00049,train,0.25,0.375,0.125,0.002434,0.00639,large-required
receipt_00050,train,0.4444,0.4444,0.0,0.002638,0.006837,small-sufficient
receipt_00051,train,0.2222,0.5714,0.3492,0.002676,0.008331,large-required
receipt_00052,train,0.6957,0.7273,0.0316,0.002964,0.00717,large-required
receipt_00053,train,0.2308,0.3846,0.1538,0.003072,0.008124,large-required
receipt_00054,train,0.4167,0.4167,0.0,0.002525,0.007593,small-sufficient
receipt_00055,train,0.25,0.375,0.125,0.002503,0.006582,large-required
receipt_00056,train,0.3571,0.5385,0.1813,0.003502,0.008034,large-required
receipt_00057,train,0.4848,0.4706,-0.0143,0.003616,0.009231,small-sufficient
receipt_00058,train,0.4082,0.75,0.3418,0.004034,0.0117,large-required
receipt_00059,train,0.5263,0.5,-0.0263,0.002276,0.007131,small-sufficient
receipt_00060,train,0.4571,0.4444,-0.0127,0.003674,0.00924,small-sufficient
receipt_00061,train,0.4,0.5,0.1,0.002332,0.006459,large-required
receipt_00062,train,0.4706,0.375,-0.0956,0.002662,0.006669,small-sufficient
receipt_00063,train,0.2308,0.1875,-0.0433,0.002754,0.010155,small-sufficient
receipt_00064,train,0.8182,0.8182,0.0,0.00308,0.007968,small-sufficient
receipt_00065,train,0.8615,0.8615,0.0,0.00761,0.022833,small-sufficient
receipt_00066,train,0.1667,0.4615,0.2949,0.002493,0.007992,large-required
receipt_00067,train,0.2857,0.3333,0.0476,0.002432,0.005754,large-required
receipt_00068,train,0.4444,0.4444,0.0,0.00391,0.009633,small-sufficient
receipt_00069,train,0.4211,0.4211,0.0,0.002709,0.00693,small-sufficient
receipt_00070,train,0.5714,0.6154,0.044,0.002868,0.008097,large-required
receipt_00071,train,0.2353,0.375,0.1397,0.002637,0.006549,large-required
receipt_00072,train,0.24,0.4615,0.2215,0.003108,0.008067,large-required
receipt_00073,train,0.2222,0.4444,0.2222,0.002275,0.006783,large-required
receipt_00074,train,0.4615,0.5,0.0385,0.002333,0.005742,large-required
receipt_00075,train,0.475,0.7436,0.2686,0.005603,0.016107,large-required
receipt_00076,train,0.3158,0.3158,0.0,0.002773,0.007167,small-sufficient
receipt_00077,train,0.4091,0.4167,0.0076,0.004192,0.011319,small-sufficient
receipt_00078,train,0.375,0.375,0.0,0.002486,0.006501,small-sufficient
receipt_00079,train,0.0952,0.2727,0.1775,0.002599,0.00705,large-required
receipt_00080,train,0.4706,0.5,0.0294,0.002637,0.006564,large-required
receipt_00081,train,0.5,0.5,0.0,0.002145,0.005718,small-sufficient
receipt_00082,train,0.4,0.4,0.0,0.002344,0.00621,small-sufficient
receipt_00083,train,0.3636,0.4,0.0364,0.002988,0.006942,large-required
receipt_00084,train,0.3226,0.6667,0.3441,0.003323,0.008112,large-required
receipt_00085,train,0.4444,0.5556,0.1111,0.002243,0.006732,large-required
receipt_00086,train,0.2667,0.25,-0.0167,0.002357,0.006549,small-sufficient
receipt_00087,train,0.0,0.4,0.4,0.001763,0.005367,large-required
receipt_00088,train,0.4444,0.4286,-0.0159,0.002704,0.008415,small-sufficient
receipt_00089,train,0.25,0.2857,0.0357,0.002664,0.006195,large-required
receipt_00090,train,0.4,0.5,0.1,0.002082,0.006549,large-required
receipt_00091,train,0.6667,0.6667,0.0,0.002234,0.006705,small-sufficient
receipt_00092,train,0.5,0.5,0.0,0.00215,0.005613,small-sufficient
receipt_00093,train,0.4167,0.5,0.0833,0.003027,0.007644,large-required
receipt_00094,train,0.1538,0.4615,0.3077,0.003262,0.008064,large-required
receipt_00095,train,0.2667,0.375,0.1083,0.002332,0.006459,large-required
receipt_00096,train,0.375,0.375,0.0,0.002481,0.006486,small-sufficient
receipt_00097,train,0.5,0.5,0.0,0.002152,0.006459,small-sufficient
receipt_00098,train,0.4138,0.5714,0.1576,0.002717,0.009804,large-required
receipt_00099,train,0.2941,0.4,0.1059,0.00394,0.009978,large-required
receipt_00100,train,0.5,0.5,0.0,0.002181,0.005706,small-sufficient
receipt_00101,train,0.2222,0.375,0.1528,0.002764,0.006525,large-required
receipt_00102,train,0.375,0.375,0.0,0.002479,0.00648,small-sufficient
receipt_00103,train,0.5977,0.5778,-0.0199,0.007799,0.01926,small-sufficient
receipt_00104,train,0.6842,0.6842,0.0,0.003244,0.009735,small-sufficient
receipt_00105,train,0.3333,0.375,0.0417,0.002767,0.006519,large-required
receipt_00106,train,0.4545,0.4545,0.0,0.002483,0.007452,small-sufficient
receipt_00107,train,0.5,0.5,0.0,0.003008,0.007587,small-sufficient
receipt_00108,train,0.1,0.2727,0.1727,0.002813,0.007812,large-required
receipt_00109,train,0.1739,0.5455,0.3715,0.004159,0.0117,large-required
receipt_00110,train,0.375,0.375,0.0,0.00216,0.006483,small-sufficient
receipt_00111,train,0.4545,0.5,0.0455,0.003037,0.007089,large-required
receipt_00112,train,0.4545,0.4545,0.0,0.002853,0.007242,small-sufficient
receipt_00113,train,0.2857,0.2857,0.0,0.001875,0.005058,small-sufficient
receipt_00114,train,0.0741,0.2143,0.1402,0.003825,0.009918,large-required
receipt_00115,train,0.2963,0.5,0.2037,0.002835,0.007848,large-required
receipt_00116,train,0.4286,0.4286,0.0,0.002332,0.006159,small-sufficient
receipt_00117,train,0.6154,0.7619,0.1465,0.003245,0.010608,large-required
receipt_00118,train,0.5,0.5,0.0,0.002522,0.007569,small-sufficient
receipt_00119,train,0.4,0.4,0.0,0.002338,0.006177,small-sufficient
receipt_00120,train,0.2105,0.2222,0.0117,0.002344,0.00669,small-sufficient
receipt_00121,train,0.0769,0.4615,0.3846,0.003262,0.008064,large-required
receipt_00122,train,0.4167,0.4348,0.0181,0.002605,0.007518,small-sufficient
receipt_00123,train,0.25,0.25,0.0,0.002486,0.006501,small-sufficient
receipt_00124,train,0.7356,0.7789,0.0433,0.007037,0.019104,large-required
receipt_00125,train,0.2667,0.375,0.1083,0.002335,0.006483,large-required
receipt_00126,train,0.2,0.1667,-0.0333,0.001941,0.005901,small-sufficient
receipt_00127,train,0.0,0.3077,0.3077,0.001756,0.005766,large-required
receipt_00128,train,0.4,0.4,0.0,0.002356,0.006231,small-sufficient
receipt_00129,train,0.1333,0.125,-0.0083,0.002502,0.007044,small-sufficient
receipt_00130,train,0.5455,0.5,-0.0455,0.001896,0.005616,small-sufficient
receipt_00131,train,0.1538,0.4615,0.3077,0.003262,0.008049,large-required
receipt_00132,train,0.2857,0.2857,0.0,0.002972,0.009024,small-sufficient
receipt_00133,train,0.5,0.5,0.0,0.002523,0.007572,small-sufficient
receipt_00134,train,0.4,0.3704,-0.0296,0.00316,0.008418,small-sufficient
receipt_00135,train,0.3243,0.3333,0.009,0.004157,0.009744,small-sufficient
receipt_00136,train,0.2222,0.1176,-0.1046,0.002379,0.00681,small-sufficient
receipt_00137,train,0.4286,0.5714,0.1429,0.002916,0.008721,large-required
receipt_00138,train,0.4179,0.6269,0.209,0.004799,0.0144,large-required
receipt_00139,train,0.2222,0.375,0.1528,0.002739,0.00642,large-required
receipt_00140,train,0.4444,0.4444,0.0,0.003186,0.008016,small-sufficient
receipt_00141,train,0.4,0.5,0.1,0.002439,0.007065,large-required
receipt_00142,train,0.4286,0.4138,-0.0148,0.003148,0.008217,small-sufficient
receipt_00143,train,0.2222,0.25,0.0278,0.002772,0.006534,large-required
receipt_00144,train,0.5455,0.6087,0.0632,0.002428,0.007707,large-required
receipt_00145,train,0.2667,0.5,0.2333,0.002362,0.006549,large-required
receipt_00146,train,0.5417,0.5652,0.0236,0.003802,0.010824,large-required
receipt_00147,train,0.381,0.5217,0.1408,0.002345,0.007743,large-required
receipt_00148,train,0.2857,0.4286,0.1429,0.002091,0.006231,large-required
receipt_00149,train,0.3117,0.4872,0.1755,0.005655,0.017043,large-required
receipt_00150,train,0.375,0.3529,-0.0221,0.002173,0.007002,small-sufficient
receipt_00151,train,0.0,0.1333,0.1333,0.002443,0.006222,large-required
receipt_00152,train,0.4286,0.5714,0.1429,0.002345,0.006183,large-required
receipt_00153,train,0.6,0.3333,-0.2667,0.002156,0.006366,small-sufficient
receipt_00154,train,0.5714,0.4615,-0.1099,0.002284,0.005775,small-sufficient
receipt_00155,train,0.5263,0.6316,0.1053,0.002593,0.006762,large-required
receipt_00156,train,0.1481,0.6207,0.4725,0.003175,0.008793,large-required
receipt_00157,train,0.3846,0.6923,0.3077,0.003188,0.008112,large-required
receipt_00158,train,0.3636,0.5,0.1364,0.002358,0.007572,large-required
receipt_00159,train,0.5714,0.5714,0.0,0.002291,0.006036,small-sufficient
receipt_00160,train,0.2667,0.4286,0.1619,0.003647,0.008349,large-required
receipt_00161,train,0.4706,0.3125,-0.1581,0.003863,0.008772,small-sufficient
receipt_00162,train,0.4103,0.3902,-0.02,0.004234,0.01167,small-sufficient
receipt_00163,train,0.2857,0.375,0.0893,0.002203,0.006492,large-required
receipt_00164,train,0.3529,0.375,0.0221,0.002637,0.006564,large-required
receipt_00165,train,0.25,0.2353,-0.0147,0.002446,0.006666,small-sufficient
receipt_00166,train,0.3333,0.4286,0.0952,0.002019,0.006105,large-required
receipt_00167,train,0.2609,0.5185,0.2576,0.002805,0.008373,large-required
receipt_00168,train,0.3158,0.3,-0.0158,0.002804,0.00747,small-sufficient
receipt_00169,train,0.2857,0.4545,0.1688,0.002652,0.007134,large-required
receipt_00170,train,0.5,0.5,0.0,0.002472,0.006459,small-sufficient
receipt_00171,train,0.7692,0.75,-0.0192,0.003973,0.010092,small-sufficient
receipt_00172,train,0.4545,0.4762,0.0216,0.002861,0.007056,large-required
receipt_00173,train,0.1818,0.2,0.0182,0.002197,0.005529,small-sufficient
receipt_00174,train,0.2857,0.2857,0.0,0.002321,0.006126,small-sufficient
receipt_00175,train,0.5,0.5,0.0,0.002766,0.007101,small-sufficient
receipt_00176,train,0.5833,0.5833,0.0,0.00311,0.007893,small-sufficient
receipt_00177,train,0.5333,0.5333,0.0,0.003452,0.008559,small-sufficient
receipt_00178,train,0.25,0.3,0.05,0.002052,0.007374,large-required
receipt_00179,train,0.4,0.3636,-0.0364,0.002909,0.00939,small-sufficient
receipt_00180,train,0.625,0.6122,-0.0128,0.003751,0.011541,small-sufficient
receipt_00181,train,0.48,0.3846,-0.0954,0.002635,0.008013,small-sufficient
receipt_00182,train,0.1818,0.1538,-0.028,0.002933,0.008832,small-sufficient
receipt_00183,train,0.3333,0.3529,0.0196,0.002766,0.006891,small-sufficient
receipt_00184,train,0.6923,0.75,0.0577,0.00267,0.007428,large-required
receipt_00185,train,0.1875,0.1667,-0.0208,0.003419,0.011415,small-sufficient
receipt_00186,train,0.3333,0.3333,0.0,0.002151,0.005616,small-sufficient
receipt_00187,train,0.2857,0.2857,0.0,0.002076,0.006216,small-sufficient
receipt_00188,train,0.2222,0.2353,0.0131,0.002372,0.006909,small-sufficient
receipt_00189,train,0.3333,0.3333,0.0,0.002175,0.005808,small-sufficient
receipt_00190,train,0.4848,0.4848,0.0,0.003061,0.009186,small-sufficient
receipt_00191,train,0.2623,0.3729,0.1106,0.0058,0.013443,large-required
receipt_00192,train,0.25,0.25,0.0,0.00217,0.006513,small-sufficient
receipt_00193,train,0.7727,0.7727,0.0,0.004828,0.011952,small-sufficient
receipt_00194,train,0.5455,0.5455,0.0,0.003151,0.008196,small-sufficient
receipt_00195,train,0.5385,0.5833,0.0449,0.002718,0.007572,large-required
receipt_00196,train,0.4615,0.5,0.0385,0.002742,0.007644,large-required
receipt_00197,train,0.4118,0.4444,0.0327,0.003642,0.009699,large-required
receipt_00198,train,0.4211,0.4444,0.0234,0.002748,0.006762,large-required
receipt_00199,train,0.5806,0.7059,0.1252,0.003476,0.009846,large-required
receipt_00200,train,0.3846,0.6154,0.2308,0.003187,0.007974,large-required
receipt_00201,train,0.2727,0.3636,0.0909,0.002776,0.007116,large-required
receipt_00202,train,0.375,0.375,0.0,0.002517,0.006594,small-sufficient
receipt_00203,train,0.5862,0.8376,0.2514,0.007102,0.021879,large-required
receipt_00204,train,0.4,0.4,0.0,0.002328,0.006162,small-sufficient
receipt_00205,train,0.4,0.4444,0.0444,0.002845,0.006648,large-required
receipt_00206,train,0.5806,0.6667,0.086,0.002767,0.008904,large-required
receipt_00207,train,0.2857,0.3077,0.022,0.003578,0.008292,large-required
receipt_00208,train,0.4615,0.4615,0.0,0.003249,0.00807,small-sufficient
receipt_00209,train,0.6667,0.6667,0.0,0.002793,0.008382,small-sufficient
receipt_00210,train,0.1818,0.5455,0.3636,0.003801,0.009246,large-required
receipt_00211,train,0.4615,0.4167,-0.0449,0.003207,0.007494,small-sufficient
receipt_00212,train,0.3333,0.4444,0.1111,0.002644,0.006825,large-required
receipt_00213,train,0.4615,0.5,0.0385,0.003309,0.007665,large-required
receipt_00214,train,0.4,0.4,0.0,0.002778,0.007152,small-sufficient
receipt_00215,train,0.4118,0.2424,-0.1693,0.003639,0.008775,small-sufficient
receipt_00216,train,0.3529,0.375,0.0221,0.002635,0.006543,large-required
receipt_00217,train,0.2308,0.4615,0.2308,0.003232,0.008049,large-required
receipt_00218,train,0.4375,0.4667,0.0292,0.003096,0.008721,large-required
receipt_00219,train,0.1127,0.7419,0.6293,0.005295,0.013593,large-required
receipt_00220,train,0.2105,0.2222,0.0117,0.002789,0.007065,small-sufficient
receipt_00221,train,0.5833,0.6364,0.053,0.002633,0.007317,large-required
receipt_00222,train,0.1429,0.1429,0.0,0.002117,0.006354,small-sufficient
receipt_00223,train,0.3333,0.3333,0.0,0.002622,0.006789,small-sufficient
receipt_00224,train,0.2,0.3333,0.1333,0.002929,0.00687,large-required
receipt_00225,train,0.375,0.5,0.125,0.002153,0.006447,large-required
receipt_00226,train,0.4375,0.5,0.0625,0.003665,0.009078,large-required
receipt_00227,train,0.2353,0.375,0.1397,0.002632,0.006579,large-required
receipt_00228,train,0.2667,0.375,0.1083,0.002333,0.006462,large-required
receipt_00229,train,0.1333,0.1429,0.0095,0.002208,0.006297,small-sufficient
receipt_00230,train,0.7241,0.7273,0.0031,0.005411,0.011841,small-sufficient
receipt_00231,train,0.4242,0.8049,0.3806,0.00397,0.016713,large-required
receipt_00232,train,0.7692,0.6364,-0.1329,0.004032,0.011259,small-sufficient
receipt_00233,train,0.381,0.5,0.119,0.002274,0.00798,large-required
receipt_00234,train,0.5,0.5556,0.0556,0.002864,0.00669,large-required
receipt_00235,train,0.1739,0.5957,0.4218,0.003715,0.011583,large-required
receipt_00236,train,0.3333,0.3158,-0.0175,0.002602,0.006984,small-sufficient
receipt_00237,train,0.2353,0.3333,0.098,0.002479,0.00678,large-required
receipt_00238,train,0.3529,0.4444,0.0915,0.002136,0.006756,large-required
receipt_00239,train,0.8696,0.9091,0.0395,0.004845,0.013608,large-required
receipt_00240,train,0.5333,0.5714,0.0381,0.002438,0.005937,large-required
receipt_00241,train,0.6842,0.6842,0.0,0.004003,0.009732,small-sufficient
receipt_00242,train,0.2667,0.375,0.1083,0.002346,0.006501,large-required
receipt_00243,train,0.3429,0.5,0.1571,0.00404,0.009183,large-required
receipt_00244,train,0.2,0.3158,0.1158,0.00294,0.007203,large-required
receipt_00245,train,0.6429,0.6923,0.0495,0.002841,0.007941,large-required
receipt_00246,train,0.4615,0.4615,0.0,0.003248,0.008067,small-sufficient
receipt_00247,train,0.3333,0.3333,0.0,0.001923,0.005652,small-sufficient
receipt_00248,train,0.3333,0.3333,0.0,0.002171,0.005796,small-sufficient
receipt_00249,train,0.25,0.25,0.0,0.002485,0.006498,small-sufficient
receipt_00250,train,0.375,0.4286,0.0536,0.002588,0.006117,large-required
receipt_00251,train,0.375,0.375,0.0,0.002497,0.006534,small-sufficient
receipt_00252,train,0.1667,0.5,0.3333,0.002589,0.007785,large-required
receipt_00253,train,0.1622,0.1481,-0.014,0.003774,0.01428,small-sufficient
receipt_00254,train,0.6415,0.6667,0.0252,0.004039,0.011565,large-required
receipt_00255,train,0.4286,0.4,-0.0286,0.002783,0.008832,small-sufficient
receipt_00256,train,0.6154,0.6154,0.0,0.003261,0.008226,small-sufficient
receipt_00257,train,0.3333,0.2222,-0.1111,0.002858,0.007512,small-sufficient
receipt_00258,train,0.4762,0.5714,0.0952,0.002713,0.007002,large-required
receipt_00259,train,0.375,0.5714,0.1964,0.002558,0.006012,large-required
receipt_00260,train,0.766,0.7826,0.0167,0.003806,0.011121,small-sufficient
receipt_00261,train,0.4314,0.64,0.2086,0.005143,0.011787,large-required
receipt_00262,train,0.7368,0.7778,0.0409,0.003276,0.009246,large-required
receipt_00263,train,0.6,0.6,0.0,0.002771,0.007116,small-sufficient
receipt_00264,train,0.5965,0.5667,-0.0298,0.004113,0.013287,small-sufficient
receipt_00265,train,0.48,0.2222,-0.2578,0.003133,0.008442,small-sufficient
receipt_00266,train,0.5806,0.6863,0.1056,0.005887,0.020724,large-required
receipt_00267,train,0.381,0.4762,0.0952,0.002714,0.007005,large-required
receipt_00268,train,0.4,0.4,0.0,0.002338,0.006177,small-sufficient
receipt_00269,train,0.75,0.75,0.0,0.003015,0.007608,small-sufficient
receipt_00270,train,0.2,0.4,0.2,0.002023,0.005367,large-required
receipt_00271,train,0.2581,0.3333,0.0753,0.003793,0.009147,large-required
receipt_00272,train,0.32,0.5455,0.2255,0.003331,0.007296,large-required
receipt_00273,train,0.4,0.4211,0.0211,0.002727,0.006699,large-required
receipt_00274,train,0.25,0.4167,0.1667,0.003129,0.00789,large-required
receipt_00275,train,0.5556,0.5556,0.0,0.003111,0.009336,small-sufficient
receipt_00276,train,0.375,0.2353,-0.1397,0.002463,0.006732,small-sufficient
receipt_00277,train,0.5977,0.716,0.1183,0.006111,0.017031,large-required
receipt_00278,train,0.1765,0.5455,0.369,0.002724,0.01104,large-required
receipt_00279,train,0.4444,0.4444,0.0,0.002643,0.006852,small-sufficient
receipt_00280,train,0.5333,0.5333,0.0,0.002877,0.008634,small-sufficient
receipt_00281,train,0.1333,0.2667,0.1333,0.002462,0.006414,large-required
receipt_00282,train,0.375,0.4706,0.0956,0.002201,0.006861,large-required
receipt_00283,train,0.5455,0.75,0.2045,0.002298,0.007512,large-required
receipt_00284,train,0.4138,0.4138,0.0,0.002819,0.00846,small-sufficient
receipt_00285,train,0.4167,0.2222,-0.1944,0.002498,0.008442,small-sufficient
receipt_00286,train,0.4,0.4286,0.0286,0.002143,0.006147,large-required
receipt_00287,train,0.5333,0.625,0.0917,0.002005,0.006318,large-required
receipt_00288,train,0.1667,0.1667,0.0,0.001998,0.005997,small-sufficient
receipt_00289,train,0.4444,0.5,0.0556,0.003016,0.010086,large-required
receipt_00290,train,0.5,0.5,0.0,0.002478,0.006492,small-sufficient
receipt_00291,train,0.2667,0.4,0.1333,0.002332,0.006189,large-required
receipt_00292,train,0.4444,0.4444,0.0,0.002561,0.006636,small-sufficient
receipt_00293,train,0.6479,0.6571,0.0093,0.004989,0.014685,small-sufficient
receipt_00294,train,0.7391,0.7391,0.0,0.003584,0.010755,small-sufficient
receipt_00295,train,0.2857,0.2609,-0.0248,0.002373,0.007827,small-sufficient
receipt_00296,train,0.25,0.25,0.0,0.002474,0.006465,small-sufficient
receipt_00297,train,0.5897,0.5882,-0.0015,0.005224,0.018015,small-sufficient
receipt_00298,train,0.1714,0.2286,0.0571,0.004683,0.011052,large-required
receipt_00299,train,0.4615,0.4615,0.0,0.003189,0.00801,small-sufficient
receipt_00300,train,0.4545,0.1818,-0.2727,0.002784,0.007245,small-sufficient
receipt_00301,train,0.1538,0.3077,0.1538,0.003382,0.008394,large-required
receipt_00302,train,0.3846,0.6154,0.2308,0.002707,0.008154,large-required
receipt_00303,train,0.6357,0.6131,-0.0225,0.007692,0.025179,small-sufficient
receipt_00304,train,0.2917,0.4545,0.1629,0.004787,0.010404,large-required
receipt_00305,train,0.4167,0.4545,0.0379,0.003054,0.007035,large-required
receipt_00306,train,0.4444,0.4444,0.0,0.002707,0.007044,small-sufficient
receipt_00307,train,0.25,0.25,0.0,0.002171,0.006516,small-sufficient
receipt_00308,train,0.3889,0.5405,0.1517,0.003066,0.009456,large-required
receipt_00309,train,0.2222,0.4444,0.2222,0.002277,0.006789,large-required
receipt_00310,train,0.3636,0.6667,0.303,0.002025,0.005763,large-required
receipt_00311,train,0.2857,0.2667,-0.019,0.002076,0.006606,small-sufficient
receipt_00312,train,0.2857,0.3333,0.0476,0.00213,0.005688,large-required
receipt_00313,train,0.1818,0.5455,0.3636,0.003111,0.009261,large-required
receipt_00314,train,0.375,0.4286,0.0536,0.002621,0.006201,large-required
receipt_00315,train,0.5,0.5,0.0,0.002151,0.005736,small-sufficient
receipt_00316,train,0.6957,0.6667,-0.029,0.004402,0.011319,small-sufficient
receipt_00317,train,0.5,0.5,0.0,0.002158,0.006477,small-sufficient
receipt_00318,train,0.4,0.4,0.0,0.002014,0.005445,small-sufficient
receipt_00319,train,0.1875,0.375,0.1875,0.003714,0.00912,large-required
receipt_00320,train,0.5,0.5,0.0,0.002151,0.005616,small-sufficient
receipt_00321,train,0.8966,0.8571,-0.0394,0.005495,0.018138,small-sufficient
receipt_00322,train,0.3556,0.3556,0.0,0.003917,0.011739,small-sufficient
receipt_00323,train,0.2857,0.2857,0.0,0.00203,0.006093,small-sufficient
receipt_00324,train,0.2667,0.2667,0.0,0.002461,0.006546,small-sufficient
receipt_00325,train,0.5294,0.5294,0.0,0.003052,0.009189,small-sufficient
receipt_00326,train,0.375,0.2857,-0.0893,0.002627,0.006204,small-sufficient
receipt_00327,train,0.2667,0.4286,0.1619,0.002478,0.006177,large-required
receipt_00328,train,0.5882,0.625,0.0368,0.004039,0.01119,large-required
receipt_00329,train,0.4444,0.4444,0.0,0.002573,0.006672,small-sufficient
receipt_00330,train,0.1818,0.3333,0.1515,0.002074,0.005865,large-required
receipt_00331,train,0.4444,0.4444,0.0,0.002632,0.006864,small-sufficient
receipt_00332,train,0.2041,0.44,0.2359,0.003605,0.011283,large-required
receipt_00333,train,0.0,0.3077,0.3077,0.002041,0.006066,large-required
receipt_00334,train,0.56,0.6154,0.0554,0.003071,0.008031,large-required
receipt_00335,train,0.5517,0.5714,0.0197,0.0028,0.008148,small-sufficient
receipt_00336,train,0.5,0.5556,0.0556,0.002862,0.006654,large-required
receipt_00337,train,0.5455,0.5455,0.0,0.002459,0.00738,small-sufficient
receipt_00338,train,0.5714,0.5714,0.0,0.001715,0.005058,small-sufficient
receipt_00339,train,0.5,0.5,0.0,0.002478,0.006477,small-sufficient
receipt_00340,train,0.3636,0.3636,0.0,0.002942,0.007509,small-sufficient
receipt_00341,train,0.5417,0.5714,0.0298,0.003766,0.011571,large-required
receipt_00342,train,0.1714,0.5143,0.3429,0.003946,0.009486,large-required
receipt_00343,train,0.4848,0.6667,0.1818,0.00392,0.008763,large-required
receipt_00344,train,0.3478,0.3333,-0.0145,0.003139,0.008295,small-sufficient
receipt_00345,train,0.2857,0.2667,-0.019,0.002372,0.006639,small-sufficient
receipt_00346,train,0.4444,0.4444,0.0,0.002572,0.006639,small-sufficient
receipt_00347,train,0.4444,0.5217,0.0773,0.00447,0.011418,large-required
receipt_00348,train,0.1667,0.3077,0.141,0.00208,0.005883,large-required
receipt_00349,train,0.5556,0.6471,0.0915,0.003267,0.009234,large-required
receipt_00350,train,0.25,0.2963,0.0463,0.003077,0.008679,large-required
receipt_00351,train,0.5217,0.5217,0.0,0.003048,0.007917,small-sufficient
receipt_00352,train,0.5854,0.6,0.0146,0.00343,0.010008,small-sufficient
receipt_00353,train,0.1176,0.2727,0.1551,0.002535,0.008013,large-required
receipt_00354,train,0.16,0.5,0.34,0.003248,0.007737,large-required
receipt_00355,train,0.24,0.48,0.24,0.00267,0.008283,large-required
receipt_00356,train,0.24,0.2963,0.0563,0.003263,0.008967,large-required
receipt_00357,train,0.5185,0.5185,0.0,0.004176,0.012576,small-sufficient
receipt_00358,train,0.1,0.1818,0.0818,0.002784,0.00774,large-required
receipt_00359,train,0.5,0.5,0.0,0.003608,0.008922,small-sufficient
