doc_id,split,f1_small,f1_large,gap,cost_small,cost_large,cached,tier_label
20090331_Japan National Tourism Organization_Amendment_Amendment,train,0.75,0.6667,-0.0833,0.00266,0.015485,False,small-sufficient
"20120207_BGR Government Affairs, LLC_Amendment_Amendment",train,0.6667,0.6,-0.0667,0.0036,0.022235,False,small-sufficient
20120430_Destination New South Wales_Amendment_Amendment,train,0.75,0.75,0.0,0.002766,0.01526,False,small-sufficient
"20080701_Sidley Austin, LLP_Amendment_Amendment",train,0.6,0.6667,0.0667,0.003052,0.017485,False,large-required
"20111017_Pillsbury Winthrop Shaw Pittman, LLP_Amendment_Amendment",train,0.8889,0.8889,0.0,0.003073,0.017425,False,small-sufficient
"20120503_Hecht, Latham, Spencer _ Associates, Inc._Amendment_Amendment",train,0.75,0.75,0.0,0.002851,0.01588,False,small-sufficient
20060214_DLA Piper US LLP_Amendment_Amendment,train,0.9091,0.9091,0.0,0.002905,0.01541,False,small-sufficient
20121106_BLJ Worldwide LTD_Amendment_Amendment,train,0.8,0.8889,0.0889,0.00285,0.016615,False,large-required
"20100812_Hill and Knowlton Strategies, LLC_Amendment_Amendment",train,0.8889,0.8889,0.0,0.003156,0.01722,False,small-sufficient
"20110902_Daniel J. Edelman, Inc._Amendment_Amendment",train,0.8,0.6667,-0.1333,0.002892,0.01634,False,small-sufficient
"20121231_Harbour Group, LLC_Amendment_Amendment",train,0.75,0.75,0.0,0.002783,0.01544,False,small-sufficient
"20121207_Pillsbury Winthrop Shaw Pittman, LLP_Amendment_Amendment",train,1.0,0.8889,-0.1111,0.002873,0.016615,False,small-sufficient
"20130311_Squire Patton Boggs, LLP_Amendment_Amendment",train,0.8889,0.8889,0.0,0.003119,0.017495,False,small-sufficient
20130131_Fratelli Group_Amendment_Amendment,train,1.0,1.0,0.0,0.002798,0.01545,False,small-sufficient
"20130213_Podesta Group, Inc._Amendment_Amendment",train,0.7273,0.7273,0.0,0.002864,0.016885,False,small-sufficient
"20130124_Arnold _ Porter Kaye Scholer, LLP_Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.003146,0.01785,False,small-sufficient
"20130422_Squire Patton Boggs, LLP_Amendment_Amendment",train,0.8889,0.8889,0.0,0.002838,0.01684,False,small-sufficient
"20131107_Nickles Group, LLC_Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.003218,0.01786,False,small-sufficient
"20130617_Hill and Knowlton Strategies, LLC_Amendment_Amendment",train,0.4444,0.6667,0.2222,0.00309,0.016955,False,large-required
"20130319_Far East Trade Services, Inc._Amendment_Amendment",train,0.75,0.6667,-0.0833,0.002702,0.01675,False,small-sufficient
"20130724_Squire Patton Boggs, LLP_Amendment_Amendment",train,0.8889,0.8889,0.0,0.002991,0.016395,False,small-sufficient
"20140407_Podesta Group, Inc._Amendment_Amendment",train,0.6667,0.6667,0.0,0.003036,0.01705,False,small-sufficient
20131223_Fratelli Group_Amendment_Amendment,train,0.8,0.6667,-0.1333,0.002983,0.01706,False,small-sufficient
"20130927_Independent Diplomat, Inc._Amendment_Amendment",train,1.0,0.75,-0.25,0.002835,0.01581,False,small-sufficient
"20140224_MSLGROUP Americas, Inc._Amendment_Amendment",train,0.7273,0.7273,0.0,0.003122,0.017075,False,small-sufficient
"20140130_JWI, LLC_Amendment_Amendment",train,0.7273,0.7273,0.0,0.003135,0.017125,False,small-sufficient
"20140725_Burson-Marsteller, LLC (Washington, DC)_Amendment_Amendment",train,0.8889,0.8889,0.0,0.002905,0.01586,False,small-sufficient
"20130730_Van Scoyoc Associates, Inc._Amendment_Amendment",train,0.6667,0.6667,0.0,0.003037,0.01675,False,small-sufficient
20140206_Holland _ Knight_Amendment_Amendment,train,0.9091,0.9091,0.0,0.00305,0.016975,False,small-sufficient
20141031_Pearson _ Associates_Amendment_Amendment,train,1.0,1.0,0.0,0.0031,0.01751,False,small-sufficient
"20141030_Public Strategies Washington, Inc._Amendment_Amendment",train,0.6,0.6667,0.0667,0.002947,0.01679,False,large-required
"20140812_Greenberg Traurig, LLP_Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.003197,0.017925,False,small-sufficient
20150304_Japan National Tourism Organization_Amendment_Amendment,train,0.75,0.75,0.0,0.002743,0.015175,False,small-sufficient
20141125_Friedlander Group_Amendment_Amendment,train,0.8571,0.75,-0.1071,0.002638,0.01604,False,small-sufficient
20141218_Fratelli Group_Amendment_Amendment,train,0.8,0.6667,-0.1333,0.002919,0.0167,False,small-sufficient
20141110_Dickens _ Madson Canada Inc._Amendment_Amendment,train,0.8,0.8,0.0,0.002905,0.01584,False,small-sufficient
"20141105_Squire Patton Boggs, LLP_Amendment_Amendment",train,1.0,0.6667,-0.3333,0.002975,0.01975,False,small-sufficient
"20150327_Squire Patton Boggs, LLP_Amendment_Amendment",train,0.6667,0.6667,0.0,0.003257,0.01751,False,small-sufficient
"20150410_Endeavor Law Firm, PC_Amendment_Amendment",train,0.75,0.75,0.0,0.002939,0.016335,False,small-sufficient
20150331_DLA Piper US LLP_Amendment_Amendment,train,0.8889,0.8889,0.0,0.002973,0.01662,False,small-sufficient
"20150416_Akin, Gump, Strauss, Hauer _ Feld, LLP_Amendment_Amendment",train,1.0,0.8889,-0.1111,0.002893,0.01688,False,small-sufficient
"20150422_Tricuro, LLC_Amendment_Amendment",train,0.75,1.0,0.25,0.003227,0.018565,False,large-required
"20150528_Levick Strategic Communications, LP_Amendment_Amendment",train,0.6667,0.6667,0.0,0.003019,0.017025,False,small-sufficient
"20150721_Glover Park Group, LLC_Amendment_Amendment",train,0.8889,0.8889,0.0,0.003114,0.01759,False,small-sufficient
"20150520_Mercury Public Affairs, LLC_Amendment_Amendment",train,0.75,1.0,0.25,0.002751,0.01522,False,large-required
"20150916_McGuireWoods Consulting, LLC_Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.003073,0.016995,False,small-sufficient
"20150601_Cassidy _ Associates, Inc._Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.002986,0.01653,False,small-sufficient
"20140127_Harbour Group, LLC_Amendment_Amendment",train,0.75,1.0,0.25,0.0028,0.015505,False,large-required
"20160226_Fleishman-Hillard, Inc._Amendment_Amendment",train,0.7273,0.7273,0.0,0.003141,0.018965,False,small-sufficient
"20160130_Squire Patton Boggs, LLP_Amendment_Amendment",train,0.6667,0.6667,0.0,0.003099,0.017135,False,small-sufficient
20160626_DLA Piper US LLP_Amendment_Amendment,train,0.6667,0.6667,0.0,0.003041,0.01673,False,small-sufficient
"20160801_Akin, Gump, Strauss, Hauer _ Feld, LLP_Amendment_Amendment",train,1.0,0.8889,-0.1111,0.002874,0.01655,False,small-sufficient
"20160720_Adams Jones Law Firm, P.A._Amendment_Amendment",train,0.8889,1.0,0.1111,0.002773,0.01585,False,large-required
20161026_Portland PR Inc._Amendment_Amendment,train,0.6667,0.6667,0.0,0.003011,0.01764,False,small-sufficient
"20150326_Pillsbury Winthrop Shaw Pittman, LLP_Amendment_Amendment",train,0.6,0.8889,0.2889,0.002977,0.01739,False,large-required
"20160517_Podesta Group, Inc._Amendment_Amendment",train,0.4444,0.4444,0.0,0.002945,0.016145,False,small-sufficient
20161027_Friedlander Group_Amendment_Amendment,train,0.8571,0.8571,0.0,0.002814,0.015715,False,small-sufficient
"20160430_Greenberg Traurig, LLP_Amendment_Amendment",train,0.75,0.75,0.0,0.002716,0.014775,False,small-sufficient
"20150601_Ryberg and Smith, LLC_Amendment_Amendment",train,0.6667,0.8889,0.2222,0.002916,0.016105,False,large-required
"20161214_Glover Park Group, LLC_Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.002983,0.016465,False,small-sufficient
"20161223_Ryberg and Smith, LLC_Amendment_Amendment",train,0.6,0.6667,0.0667,0.00291,0.016925,False,large-required
"20150603_Fleishman-Hillard, Inc._Amendment_Amendment",train,0.5455,0.5455,0.0,0.00346,0.019005,False,small-sufficient
"20161220_Sandler Trade, LLC_Amendment_Amendment",train,0.8,0.8889,0.0889,0.003663,0.020425,False,large-required
"20170106_Vision Americas, LLC_Amendment_Amendment",train,0.5,0.5,0.0,0.002881,0.016,False,small-sufficient
"20170126_Arnold _ Porter Kaye Scholer, LLP_Amendment_Amendment",train,0.8889,0.8889,0.0,0.003037,0.01692,False,small-sufficient
20160330_Korea Economic Institute_Amendment_Amendment,train,1.0,1.0,0.0,0.002868,0.01595,False,small-sufficient
"20170404_Muzin Capitol Partners, LLC_Amendment_Amendment",train,1.0,0.75,-0.25,0.002779,0.015435,False,small-sufficient
"20151103_Glover Park Group, LLC_Amendment_Amendment",train,0.8889,0.8889,0.0,0.002973,0.01663,False,small-sufficient
"20161222_Levick Strategic Communications, LP_Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.003048,0.01771,False,small-sufficient
"20170306_Squire Patton Boggs, LLP_Amendment_Amendment",train,0.8889,0.8889,0.0,0.003114,0.0171,False,small-sufficient
20170609_DLA Piper US LLP_Amendment_Amendment,train,0.6667,0.8889,0.2222,0.002941,0.01625,False,large-required
20170320_Quebec Government Office_Amendment_Amendment,train,0.8,0.8,0.0,0.002886,0.01583,False,small-sufficient
20170225_Fratelli Group_Amendment_Amendment,train,0.8889,0.6667,-0.2222,0.003037,0.016755,False,small-sufficient
"20170606_Sonoran Policy Group, LLC_Amendment_Amendment",train,0.8,0.6667,-0.1333,0.002678,0.01587,False,small-sufficient
"20170327_Podesta Group, Inc._Amendment_Amendment",train,0.6667,0.6667,0.0,0.002981,0.01652,False,small-sufficient
"20170418_Husch Blackwell, LLP_Amendment_Amendment",train,0.6667,0.6667,0.0,0.003052,0.01784,False,small-sufficient
"20170728_Levick Strategic Communications, LP_Amendment_Amendment",train,0.75,0.8889,0.1389,0.002834,0.016525,False,large-required
"20170731_Alston _ Bird, LLP_Amendment_Amendment",train,0.8889,0.8889,0.0,0.003072,0.017065,False,small-sufficient
"20170726_Livingston Group, LLC_Amendment_Amendment",train,0.8,0.8889,0.0889,0.003026,0.017635,False,large-required
"20170802_Sonoran Policy Group, LLC_Amendment_Amendment",train,1.0,1.0,0.0,0.002853,0.01597,False,small-sufficient
"20170902_Greenfield Law, LLC_Amendment_Amendment",train,0.75,0.4,-0.35,0.002928,0.017525,False,small-sufficient
20171208_Nineveh Plain Defense Fund_Amendment_Amendment,train,0.6,0.8889,0.2889,0.003776,0.02099,False,large-required
"20171213_Capitol Counsel, LLC_Amendment_Amendment",train,0.6,0.6,0.0,0.00311,0.01712,False,small-sufficient
"20171108_Rokk Solutions, LLC_Amendment_Amendment",train,1.0,0.75,-0.25,0.002796,0.01543,False,small-sufficient
20180104_Global Vision Communications_Amendment_Amendment,train,0.5,0.5,0.0,0.002986,0.01652,False,small-sufficient
"20171016_Husch Blackwell, LLP_Amendment_Amendment",train,0.8889,0.8889,0.0,0.003096,0.01733,False,small-sufficient
"20171222_Harbour Group, LLC_Amendment_Amendment",train,0.75,0.75,0.0,0.002781,0.015415,False,small-sufficient
"20180129_White House Writers Group, Inc._Amendment_Amendment",train,0.75,0.75,0.0,0.002836,0.015945,False,small-sufficient
20170920_Doremus _ Company_Amendment_Amendment,train,0.6667,0.6667,0.0,0.002923,0.01601,False,small-sufficient
"20171229_Kit Bond Strategies, LLP_Amendment_Amendment",train,0.75,0.75,0.0,0.002845,0.01579,False,small-sufficient
"20180131_Sorini, Samet _ Associates, LLC_Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.003146,0.018245,False,small-sufficient
"20170927_Kingery, Samet _ Sorini, PLLC_Amendment_Amendment",train,1.0,1.0,0.0,0.002858,0.01569,False,small-sufficient
"20180125_CDN International, Inc._Amendment_Amendment",train,0.6,0.4444,-0.1556,0.003379,0.01849,False,small-sufficient
"20180122_Pillsbury Winthrop Shaw Pittman, LLP_Amendment_Amendment",train,0.6667,0.6667,0.0,0.003074,0.016915,False,small-sufficient
20180220_Dentons US LLP_Amendment_Amendment,train,0.6667,0.6667,0.0,0.003008,0.01654,False,small-sufficient
"20180228_Western Hemisphere Strategies, LLC_Amendment_Amendment",train,0.6667,0.6667,0.0,0.003401,0.01933,False,small-sufficient
20180330_Hogan Lovells US LLP_Amendment_Amendment,train,0.8889,0.6667,-0.2222,0.003128,0.0173,False,small-sufficient
"20180326_Sorini, Samet _ Associates, LLC_Amendment_Amendment",train,0.75,1.0,0.25,0.002841,0.015975,False,large-required
"20180417_Hecht, Latham, Spencer _ Associates, Inc._Amendment_Amendment",train,1.0,0.75,-0.25,0.002882,0.01603,False,small-sufficient
"20180301_Kingery, Samet _ Sorini, PLLC_Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.003093,0.01728,False,small-sufficient
"20180118_Nickles Group, LLC_Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.003016,0.016755,False,small-sufficient
20180516_Dickens _ Madson Canada Inc._Amendment_Amendment,train,0.6667,0.6667,0.0,0.003074,0.016985,False,small-sufficient
20180510_Forbes Tate Partners LLC_Amendment_Amendment,train,0.6667,0.6667,0.0,0.002981,0.01658,False,small-sufficient
20180430_Isdory Phocus Lyamuya_Amendment_Amendment,train,1.0,0.75,-0.25,0.002891,0.015975,False,small-sufficient
"20180504_Squire Patton Boggs, LLP_Amendment_Amendment",train,0.6667,0.6667,0.0,0.003038,0.01679,False,small-sufficient
20180713_Prime Policy Group_Amendment_Amendment,train,0.6667,0.6667,0.0,0.003007,0.01684,False,small-sufficient
"20180714_theGroup DC, LLC_Amendment_Amendment",train,0.6,0.6667,0.0667,0.002903,0.01659,False,large-required
"20180717_Lexington Strategies, LLC_Amendment_Amendment",train,0.8889,0.6667,-0.2222,0.0032,0.01829,False,small-sufficient
"20180529_Legislative Strategies, Inc._Amendment_Amendment",train,1.0,0.75,-0.25,0.002824,0.01568,False,small-sufficient
