doc_id,split,f1_small,f1_large,gap,cost_small,cost_large,cached,tier_label
X51005365179,train,1.0,0.75,-0.25,0.002014,0.010245,False,small-sufficient
X51005441402,train,0.75,0.75,0.0,0.001686,0.00872,False,small-sufficient
X00016469620,train,0.25,0.25,0.0,0.002301,0.01125,False,small-sufficient
X51005441407,train,0.25,0.75,0.5,0.002164,0.010635,False,large-required
X51005441398,train,0.5,0.5,0.0,0.002147,0.01075,False,small-sufficient
X51005442346,train,0.75,0.75,0.0,0.00206,0.0101,False,small-sufficient
X51005442333,train,0.5,0.5,0.0,0.002057,0.010655,False,small-sufficient
X51005442338,train,0.75,0.75,0.0,0.002065,0.01008,False,small-sufficient
X51005442344,train,0.75,0.75,0.0,0.002116,0.010555,False,small-sufficient
X51005442361,train,0.5,0.5,0.0,0.002163,0.010305,False,small-sufficient
X51005442341,train,0.75,0.75,0.0,0.001768,0.008135,False,small-sufficient
X51005441401,train,0.75,0.75,0.0,0.001844,0.008715,False,small-sufficient
X51005442376,train,0.75,1.0,0.25,0.002036,0.01046,False,large-required
X51005441408,train,0.75,1.0,0.25,0.001817,0.00949,False,large-required
X51005442379,train,0.75,0.75,0.0,0.002037,0.01046,False,small-sufficient
X51005442383,train,1.0,1.0,0.0,0.001789,0.00945,False,small-sufficient
X51005442327,train,0.25,0.75,0.5,0.002055,0.010585,False,large-required
X51005442384,train,0.75,1.0,0.25,0.00203,0.010405,False,large-required
X51005442394,train,0.75,1.0,0.25,0.002035,0.010445,False,large-required
X51005442386,train,0.5,1.0,0.5,0.002112,0.01047,False,large-required
X51005442378,train,0.5,0.5,0.0,0.002189,0.01107,False,small-sufficient
X51005447833,train,0.25,0.75,0.5,0.001927,0.009035,False,large-required
X51005444045,train,0.25,0.25,0.0,0.001941,0.00923,False,small-sufficient
X51005433553,train,0.5,1.0,0.5,0.002192,0.0108,False,large-required
X51005444037,train,0.5,0.75,0.25,0.002153,0.01095,False,large-required
X51005447839,train,0.5,0.5,0.0,0.001986,0.00957,False,small-sufficient
X51005442397,train,1.0,1.0,0.0,0.001875,0.009005,False,small-sufficient
X51005442392,train,0.75,1.0,0.25,0.002014,0.010305,False,large-required
X51005447853,train,0.25,0.25,0.0,0.002,0.009535,False,small-sufficient
X51005447852,train,0.25,0.5,0.25,0.001948,0.00912,False,large-required
X51005447840,train,1.0,1.0,0.0,0.002146,0.010695,False,small-sufficient
X51005447850,train,0.75,0.75,0.0,0.00205,0.01006,False,small-sufficient
X51005444033,train,0.75,0.75,0.0,0.002074,0.01065,False,small-sufficient
X51005447861,train,1.0,1.0,0.0,0.002147,0.010925,False,small-sufficient
X51005447860,train,1.0,0.75,-0.25,0.002117,0.01042,False,small-sufficient
X51005453801,train,0.75,0.5,-0.25,0.001938,0.009635,False,small-sufficient
X51005568881,train,0.75,1.0,0.25,0.002022,0.00996,False,large-required
X51005453729,train,0.75,0.75,0.0,0.002157,0.01064,False,small-sufficient
X51005453804,train,1.0,1.0,0.0,0.002131,0.01047,False,small-sufficient
X51005568827,train,0.5,0.5,0.0,0.00209,0.010425,False,small-sufficient
X51005453802,train,1.0,0.75,-0.25,0.002159,0.010795,False,small-sufficient
X51005447832,train,0.75,0.5,-0.25,0.001967,0.009505,False,small-sufficient
X51005568898,train,0.75,1.0,0.25,0.00216,0.01078,False,large-required
X51005568914,train,0.75,1.0,0.25,0.001914,0.009275,False,large-required
X51005568899,train,0.5,0.5,0.0,0.002122,0.010265,False,small-sufficient
X51005568911,train,0.5,0.5,0.0,0.002279,0.011225,False,small-sufficient
X51005568900,train,0.5,0.5,0.0,0.002129,0.010335,False,small-sufficient
X51005568880,train,0.75,0.75,0.0,0.002145,0.01134,False,small-sufficient
X51005568913,train,0.5,1.0,0.5,0.001915,0.00916,False,large-required
X51005568891,train,0.75,1.0,0.25,0.002215,0.01119,False,large-required
X51005568829,train,1.0,1.0,0.0,0.002047,0.010075,False,small-sufficient
X51005587254,train,0.75,1.0,0.25,0.002256,0.011105,False,large-required
X51005587267,train,0.5,0.75,0.25,0.002355,0.01192,False,large-required
X51005577192,train,0.75,1.0,0.25,0.002054,0.010335,False,large-required
X51005605284,train,0.75,0.75,0.0,0.00207,0.010265,False,small-sufficient
X51005605286,train,1.0,1.0,0.0,0.002071,0.010005,False,small-sufficient
X51005447848,train,1.0,0.75,-0.25,0.001949,0.010315,False,small-sufficient
X51005605335,train,0.75,1.0,0.25,0.002066,0.010215,False,large-required
X51005605334,train,0.75,1.0,0.25,0.002061,0.010125,False,large-required
X51005663280,train,0.2857,0.6667,0.381,0.001987,0.009175,False,large-required
X51005663272,train,0.75,1.0,0.25,0.00201,0.00992,False,large-required
X51005663276,train,0.75,0.75,0.0,0.001987,0.009725,False,small-sufficient
X51005663278,train,0.75,1.0,0.25,0.001932,0.009395,False,large-required
X51005663273,train,0.75,0.75,0.0,0.002,0.00983,False,small-sufficient
X51005605285,train,1.0,0.75,-0.25,0.002083,0.01033,False,small-sufficient
X51005663279,train,0.75,0.75,0.0,0.002004,0.009875,False,small-sufficient
X51005663277,train,0.75,0.75,0.0,0.001995,0.00977,False,small-sufficient
X51005605333,train,0.25,0.5,0.25,0.002067,0.010225,False,large-required
X51005568884,train,1.0,1.0,0.0,0.002124,0.01034,False,small-sufficient
X51005663293,train,0.75,0.75,0.0,0.002032,0.01009,False,small-sufficient
X51005663297,train,1.0,1.0,0.0,0.002482,0.01283,False,small-sufficient
X51005663298,train,0.5,0.75,0.25,0.002058,0.01076,False,large-required
X51005663301,train,0.75,0.5,-0.25,0.002003,0.01008,False,small-sufficient
X51005676536,train,0.75,0.75,0.0,0.002059,0.01017,False,small-sufficient
X51005663317,train,0.75,0.5,-0.25,0.002001,0.01007,False,small-sufficient
X51005676538,train,0.75,0.75,0.0,0.002062,0.010225,False,small-sufficient
X51005663324,train,0.75,0.75,0.0,0.002225,0.011185,False,small-sufficient
X51005676543,train,0.75,0.75,0.0,0.001873,0.01006,False,small-sufficient
X51005663311,train,0.75,0.5,-0.25,0.002002,0.010075,False,small-sufficient
X51005676539,train,0.75,0.75,0.0,0.001994,0.009795,False,small-sufficient
X51005676541,train,0.75,0.75,0.0,0.002069,0.01028,False,small-sufficient
X51005675095,train,0.75,0.75,0.0,0.001998,0.00984,False,small-sufficient
X51005676544,train,0.75,0.75,0.0,0.002004,0.00986,False,small-sufficient
X51005676545,train,0.75,0.75,0.0,0.001842,0.00985,False,small-sufficient
X51005676546,train,0.75,0.75,0.0,0.002001,0.00986,False,small-sufficient
X51005676540,train,0.75,0.75,0.0,0.002051,0.01016,False,small-sufficient
X51005677328,train,0.75,0.75,0.0,0.002004,0.00986,False,small-sufficient
X51005676549,train,0.75,0.75,0.0,0.00203,0.01002,False,small-sufficient
X51005677329,train,0.75,0.75,0.0,0.002002,0.00988,False,small-sufficient
X51005677331,train,0.75,1.0,0.25,0.002053,0.010165,False,large-required
X51005677334,train,0.75,0.75,0.0,0.002027,0.00999,False,small-sufficient
X51005685357,train,0.75,1.0,0.25,0.002059,0.009965,False,large-required
X51005677339,train,1.0,0.75,-0.25,0.002067,0.010385,False,small-sufficient
X51005705722,train,0.75,0.75,0.0,0.002094,0.01063,False,small-sufficient
X51005677335,train,0.75,0.75,0.0,0.001864,0.00998,False,small-sufficient
X51005685355,train,0.75,0.75,0.0,0.002103,0.01054,False,small-sufficient
X51005711403,train,1.0,1.0,0.0,0.002056,0.010155,False,small-sufficient
X51005676547,train,0.75,0.75,0.0,0.002004,0.00986,False,small-sufficient
X51005711441,train,1.0,1.0,0.0,0.002044,0.01007,False,small-sufficient
X51005705760,train,0.75,0.75,0.0,0.00242,0.012245,False,small-sufficient
X51005705804,train,0.75,0.75,0.0,0.002148,0.01087,False,small-sufficient
X51005711401,train,1.0,1.0,0.0,0.002024,0.009955,False,small-sufficient
X51005711451,train,0.75,0.75,0.0,0.001861,0.009945,False,small-sufficient
X51005711445,train,1.0,1.0,0.0,0.002043,0.01006,False,small-sufficient
X51005711442,train,1.0,1.0,0.0,0.002064,0.01018,False,small-sufficient
X51005711453,train,1.0,0.75,-0.25,0.00209,0.010455,False,small-sufficient
X51005711447,train,1.0,1.0,0.0,0.002023,0.009955,False,small-sufficient
X51005711452,train,0.75,1.0,0.25,0.002147,0.010685,False,large-required
X51005712021,train,0.5,0.5,0.0,0.002054,0.01011,False,small-sufficient
X51005711456,train,0.75,0.5,-0.25,0.002211,0.011155,False,small-sufficient
X51005711454,train,0.5,0.5,0.0,0.00216,0.010725,False,small-sufficient
X51005712017,train,0.75,1.0,0.25,0.00217,0.01041,False,large-required
X51005715456,train,0.75,0.75,0.0,0.002063,0.01007,False,small-sufficient
X51005677332,train,0.75,0.75,0.0,0.001973,0.00967,False,small-sufficient
X51005712038,train,0.75,0.75,0.0,0.002164,0.01061,False,small-sufficient
X51005711404,train,1.0,1.0,0.0,0.002044,0.01006,False,small-sufficient
X51005715451,train,0.5,0.5,0.0,0.002078,0.010235,False,small-sufficient
X51005719814,train,0.5,0.25,-0.25,0.002038,0.010225,False,small-sufficient
X51005717526,train,0.75,0.75,0.0,0.002096,0.010655,False,small-sufficient
X51005719862,train,0.25,0.5,0.25,0.001945,0.008985,False,large-required
X51005712039,train,0.75,1.0,0.25,0.001869,0.0099,False,large-required
X51005719856,train,0.5,0.75,0.25,0.002083,0.01068,False,large-required
X51005719864,train,1.0,1.0,0.0,0.001977,0.00946,False,small-sufficient
X51005719882,train,0.25,0.25,0.0,0.001967,0.009385,False,small-sufficient
X51005719874,train,0.5,0.75,0.25,0.002049,0.010295,False,large-required
X51005719883,train,0.25,0.25,0.0,0.001944,0.009255,False,small-sufficient
X51005715010,train,0.75,0.75,0.0,0.001938,0.00887,False,small-sufficient
X51005719886,train,0.75,0.75,0.0,0.001823,0.008425,False,small-sufficient
X51005719873,train,0.5,0.75,0.25,0.002034,0.0097,False,large-required
X51005719893,train,0.5,0.75,0.25,0.001801,0.00928,False,large-required
X51005719896,train,1.0,0.75,-0.25,0.002099,0.010425,False,small-sufficient
X51005719902,train,0.5,0.75,0.25,0.002135,0.01037,False,large-required
X51005719899,train,0.5,0.5,0.0,0.001921,0.008945,False,small-sufficient
X51005719912,train,1.0,1.0,0.0,0.002014,0.01033,False,small-sufficient
X51005719906,train,0.5,0.75,0.25,0.002088,0.010605,False,large-required
X51005719917,train,0.5,0.5,0.0,0.002186,0.01119,False,small-sufficient
X51005719914,train,0.75,0.75,0.0,0.002464,0.01234,False,small-sufficient
X51005724554,train,0.75,1.0,0.25,0.002057,0.00998,False,large-required
X51005724627,train,0.75,1.0,0.25,0.00205,0.009945,False,large-required
X51005724621,train,0.75,1.0,0.25,0.002056,0.009975,False,large-required
X51005722668,train,0.75,0.75,0.0,0.002078,0.010555,False,small-sufficient
X51005722699,train,0.5,0.75,0.25,0.002041,0.010015,False,large-required
X51005719904,train,0.75,0.75,0.0,0.002036,0.010125,False,small-sufficient
X51005745190,train,1.0,1.0,0.0,0.002355,0.012045,False,small-sufficient
X51005741944,train,0.75,0.75,0.0,0.002,0.009855,False,small-sufficient
X51005724629,train,0.75,1.0,0.25,0.002055,0.00993,False,large-required
X51005745187,train,0.75,0.75,0.0,0.002092,0.01026,False,small-sufficient
X51005746140,train,0.75,0.75,0.0,0.001915,0.009125,False,small-sufficient
X51005745214,train,0.5,0.5,0.0,0.002011,0.00963,False,small-sufficient
X51005745183,train,0.75,0.5,-0.25,0.001811,0.00985,False,small-sufficient
X51005745296,train,0.5,0.75,0.25,0.002141,0.01061,False,large-required
X51005745188,train,1.0,1.0,0.0,0.002031,0.009865,False,small-sufficient
X51005745249,train,0.5,0.5,0.0,0.002164,0.010965,False,small-sufficient
X51005749912,train,0.75,0.75,0.0,0.002186,0.0107,False,small-sufficient
X51005757199,train,0.5,0.75,0.25,0.002048,0.010035,False,large-required
X51005749905,train,0.5,0.5,0.0,0.002228,0.011005,False,small-sufficient
X51005757235,train,1.0,0.75,-0.25,0.002115,0.010425,False,small-sufficient
X51005757201,train,1.0,0.75,-0.25,0.002235,0.012025,False,small-sufficient
X51005757273,train,0.75,0.75,0.0,0.002158,0.010575,False,small-sufficient
X51005749895,train,0.25,0.25,0.0,0.002282,0.011235,False,small-sufficient
X51005757286,train,1.0,0.75,-0.25,0.001994,0.009935,False,small-sufficient
X51005757243,train,0.75,0.75,0.0,0.002023,0.009995,False,small-sufficient
X51005757290,train,0.75,0.75,0.0,0.002203,0.010755,False,small-sufficient
X51005757304,train,0.5,0.75,0.25,0.001907,0.008545,False,large-required
X51005757294,train,0.75,0.75,0.0,0.001969,0.01043,False,small-sufficient
X51005757323,train,0.75,0.75,0.0,0.002209,0.010805,False,small-sufficient
X51005757349,train,1.0,1.0,0.0,0.001969,0.009695,False,small-sufficient
X51005757346,train,0.75,0.75,0.0,0.002151,0.010525,False,small-sufficient
X51005757324,train,0.75,0.75,0.0,0.002175,0.01067,False,small-sufficient
X51005763940,train,0.75,0.75,0.0,0.002166,0.01098,False,small-sufficient
X51005757353,train,0.75,0.75,0.0,0.002208,0.0108,False,small-sufficient
X51005757351,train,0.75,0.75,0.0,0.00217,0.010595,False,small-sufficient
X51005806679,train,0.75,1.0,0.25,0.002041,0.0109,False,large-required
X51005757248,train,1.0,0.75,-0.25,0.002186,0.010765,False,small-sufficient
X51005806702,train,1.0,1.0,0.0,0.001984,0.009885,False,small-sufficient
X51005806685,train,1.0,1.0,0.0,0.002023,0.009905,False,small-sufficient
X51005806678,train,0.5,0.75,0.25,0.002235,0.011295,False,large-required
X51005806703,train,0.75,0.75,0.0,0.002146,0.010895,False,small-sufficient
X51005806698,train,1.0,1.0,0.0,0.002045,0.010065,False,small-sufficient
X51006008073,train,1.0,1.0,0.0,0.002058,0.010015,False,small-sufficient
X51006008057,train,0.75,1.0,0.25,0.002239,0.01113,False,large-required
X51005806716,train,1.0,1.0,0.0,0.002056,0.01012,False,small-sufficient
X51006008074,train,1.0,1.0,0.0,0.002047,0.01009,False,small-sufficient
X51005889296,train,0.75,1.0,0.25,0.001927,0.009165,False,large-required
X51006008089,train,0.75,1.0,0.25,0.00219,0.011055,False,large-required
X51006008086,train,0.75,1.0,0.25,0.002118,0.010475,False,large-required
X51006008197,train,0.75,0.75,0.0,0.001852,0.00858,False,small-sufficient
X51006008091,train,0.75,1.0,0.25,0.002065,0.01026,False,large-required
X51006311758,train,0.75,1.0,0.25,0.002146,0.010665,False,large-required
X51006311764,train,0.75,1.0,0.25,0.002025,0.00992,False,large-required
X51006311767,train,0.75,1.0,0.25,0.002097,0.010415,False,large-required
X51006008095,train,1.0,1.0,0.0,0.002025,0.009755,False,small-sufficient
X51006311779,train,0.75,0.75,0.0,0.002181,0.011115,False,small-sufficient
X51006311778,train,0.75,0.75,0.0,0.002178,0.01096,False,small-sufficient
X51006327978,train,0.25,0.75,0.5,0.002145,0.010225,False,large-required
X51006311780,train,0.75,0.75,0.0,0.002404,0.01195,False,small-sufficient
X51006327976,train,1.0,1.0,0.0,0.00227,0.01229,False,small-sufficient
X51006329395,train,1.0,1.0,0.0,0.001894,0.00905,False,small-sufficient
X51006328919,train,1.0,1.0,0.0,0.001894,0.00905,False,small-sufficient
X51006329402,train,0.75,0.75,0.0,0.001925,0.00916,False,small-sufficient
X51006329399,train,1.0,1.0,0.0,0.002005,0.0097,False,small-sufficient
X51006332649,train,0.75,1.0,0.25,0.002073,0.0101,False,large-required
X51006332575,train,0.75,1.0,0.25,0.002168,0.010685,False,large-required
X51006334741,train,0.25,0.5,0.25,0.002104,0.01073,False,large-required
X51006334926,train,0.75,1.0,0.25,0.002029,0.01074,False,large-required
X51006335314,train,1.0,1.0,0.0,0.002021,0.00977,False,small-sufficient
X51006335552,train,0.25,0.75,0.5,0.002413,0.011865,False,large-required
X51006335547,train,0.75,1.0,0.25,0.002119,0.01022,False,large-required
X51006349086,train,0.75,0.75,0.0,0.002007,0.009705,False,small-sufficient
X51006334699,train,0.25,0.5,0.25,0.002111,0.010825,False,large-required
X51006387740,train,1.0,1.0,0.0,0.002028,0.00998,False,small-sufficient
X51006328913,train,0.75,0.75,0.0,0.001854,0.00961,False,small-sufficient
X51006350750,train,0.75,0.75,0.0,0.001931,0.00959,False,small-sufficient
X51006387812,train,1.0,1.0,0.0,0.002106,0.01025,False,small-sufficient
X51006387850,train,0.75,1.0,0.25,0.001942,0.00931,False,large-required
X51006387932,train,0.75,1.0,0.25,0.001968,0.009615,False,large-required
X51006387951,train,1.0,1.0,0.0,0.001955,0.009505,False,small-sufficient
X51006328920,train,0.75,0.75,0.0,0.001876,0.008905,False,small-sufficient
X51006387953,train,1.0,1.0,0.0,0.001954,0.00951,False,small-sufficient
X51006387813,train,0.5,0.5,0.0,0.002322,0.011835,False,small-sufficient
X51006388044,train,0.75,1.0,0.25,0.001905,0.00846,False,large-required
X51006388065,train,0.5,0.25,-0.25,0.001922,0.009155,False,small-sufficient
X51006387971,train,0.25,0.25,0.0,0.002054,0.01,False,small-sufficient
X51006388064,train,1.0,1.0,0.0,0.002076,0.01004,False,small-sufficient
X51006388066,train,0.75,1.0,0.25,0.002117,0.01033,False,large-required
X51006388069,train,0.5,0.5,0.0,0.002093,0.010345,False,small-sufficient
X51006388082,train,1.0,0.75,-0.25,0.001908,0.01033,False,small-sufficient
X51006387847,train,1.0,1.0,0.0,0.002086,0.01008,False,small-sufficient
X51006389884,train,0.25,0.25,0.0,0.002147,0.010525,False,small-sufficient
X51006389893,train,0.75,0.75,0.0,0.002077,0.01012,False,small-sufficient
X51006389865,train,1.0,1.0,0.0,0.001893,0.010165,False,small-sufficient
X51006389888,train,0.25,0.5,0.25,0.00219,0.01058,False,large-required
X51006389963,train,0.75,0.5,-0.25,0.002325,0.01236,False,small-sufficient
X51006392122,train,0.75,0.75,0.0,0.00205,0.009855,False,small-sufficient
X51006392273,train,0.75,0.5,-0.25,0.002092,0.01057,False,small-sufficient
X51005742068,train,0.75,0.75,0.0,0.001905,0.009125,False,small-sufficient
X51006392299,train,1.0,1.0,0.0,0.002001,0.009595,False,small-sufficient
X51006393376,train,0.25,0.25,0.0,0.001984,0.009465,False,small-sufficient
X51006401836,train,0.75,1.0,0.25,0.00184,0.00951,False,large-required
X51006414392,train,1.0,1.0,0.0,0.002062,0.010245,False,small-sufficient
X51006401869,train,0.75,0.75,0.0,0.002035,0.009975,False,small-sufficient
X51006393377,train,0.25,0.25,0.0,0.002232,0.010965,False,small-sufficient
X51006414394,train,0.75,0.75,0.0,0.002117,0.010465,False,small-sufficient
X51006414431,train,0.75,1.0,0.25,0.002013,0.010275,False,large-required
X51006414470,train,0.75,0.75,0.0,0.002035,0.01048,False,small-sufficient
X51006414485,train,0.75,1.0,0.25,0.002035,0.010415,False,large-required
X51006414533,train,0.5,0.5,0.0,0.001896,0.008965,False,small-sufficient
X51006414483,train,0.75,1.0,0.25,0.002037,0.01043,False,large-required
X51006401978,train,1.0,1.0,0.0,0.001901,0.009095,False,small-sufficient
X51006414633,train,0.75,1.0,0.25,0.001876,0.010415,False,large-required
X51006350763,train,0.75,0.75,0.0,0.001931,0.00959,False,small-sufficient
X51006414631,train,0.75,1.0,0.25,0.002078,0.01067,False,large-required
X51006414636,train,0.5,0.25,-0.25,0.001991,0.00977,False,small-sufficient
X51006414519,train,0.75,0.5,-0.25,0.001977,0.009535,False,small-sufficient
X51006414675,train,0.75,0.75,0.0,0.002209,0.01139,False,small-sufficient
X51006414671,train,0.75,0.75,0.0,0.001918,0.01079,False,small-sufficient
X51006414677,train,1.0,1.0,0.0,0.002219,0.011265,False,small-sufficient
X51006414680,train,1.0,0.75,-0.25,0.002112,0.01039,False,small-sufficient
X51006414700,train,0.75,0.75,0.0,0.002156,0.010475,False,small-sufficient
X51006414711,train,0.75,0.75,0.0,0.002156,0.011195,False,small-sufficient
X51006414703,train,0.75,0.75,0.0,0.002277,0.011175,False,small-sufficient
X51006414712,train,0.75,0.75,0.0,0.002217,0.011505,False,small-sufficient
X51006414638,train,0.75,1.0,0.25,0.002097,0.010305,False,large-required
X51006414714,train,0.75,0.75,0.0,0.002103,0.0102,False,small-sufficient
X51006414718,train,1.0,0.75,-0.25,0.001958,0.010435,False,small-sufficient
X51006414720,train,0.75,1.0,0.25,0.001995,0.00974,False,large-required
X51006414719,train,1.0,0.75,-0.25,0.002104,0.01036,False,small-sufficient
X51006414599,train,0.75,1.0,0.25,0.00228,0.01212,False,large-required
X51006414713,train,0.5,1.0,0.5,0.002422,0.01218,False,large-required
X51006414721,train,0.75,0.75,0.0,0.002171,0.01117,False,small-sufficient
X51006414674,train,0.75,0.75,0.0,0.002195,0.01131,False,small-sufficient
X51006441473,train,1.0,1.0,0.0,0.002065,0.010715,False,small-sufficient
X51006414733,train,0.75,0.75,0.0,0.002493,0.01254,False,small-sufficient
X51006414679,train,0.75,0.75,0.0,0.002092,0.01037,False,small-sufficient
X51006401723,train,0.75,0.75,0.0,0.002137,0.01071,False,small-sufficient
X51006466060,train,0.75,0.75,0.0,0.001881,0.008905,False,small-sufficient
X51006441474,train,0.5,1.0,0.5,0.002086,0.010035,False,large-required
X51006466055,train,0.5,0.75,0.25,0.002223,0.010855,False,large-required
X51006466062,train,1.0,1.0,0.0,0.001877,0.008875,False,small-sufficient
X51006466778,train,0.75,0.75,0.0,0.001797,0.008215,False,small-sufficient
X51006502529,train,0.75,0.75,0.0,0.001823,0.00955,False,small-sufficient
X51006502531,train,0.75,1.0,0.25,0.002014,0.00985,False,large-required
X51006502533,train,0.5,0.5,0.0,0.001885,0.009185,False,small-sufficient
X51006466065,train,0.75,0.5,-0.25,0.001977,0.00877,False,small-sufficient
X51006555125,train,0.75,0.75,0.0,0.001935,0.00915,False,small-sufficient
X51006555570,train,0.75,0.75,0.0,0.002148,0.01036,False,small-sufficient
X51006555072,train,1.0,1.0,0.0,0.00206,0.01073,False,small-sufficient
X51006555817,train,0.75,1.0,0.25,0.002217,0.011325,False,large-required
X51006555814,train,0.75,0.75,0.0,0.002088,0.01162,False,small-sufficient
X51006555806,train,0.75,0.75,0.0,0.002065,0.011505,False,small-sufficient
X51006555780,train,0.5,1.0,0.5,0.002221,0.01136,False,large-required
X51006555818,train,0.75,1.0,0.25,0.002134,0.011765,False,large-required
X51006555784,train,0.75,0.75,0.0,0.002196,0.011355,False,small-sufficient
X51006466066,train,0.5,1.0,0.5,0.002206,0.010855,False,large-required
X51006556604,train,0.75,1.0,0.25,0.002222,0.01136,False,large-required
X51006556591,train,0.5,0.75,0.25,0.002221,0.01135,False,large-required
X51006466056,train,1.0,1.0,0.0,0.00208,0.010375,False,small-sufficient
X51006556596,train,0.75,1.0,0.25,0.002224,0.01137,False,large-required
X51006556656,train,0.75,1.0,0.25,0.002246,0.011485,False,large-required
X51006556650,train,0.75,0.75,0.0,0.002223,0.01152,False,small-sufficient
X51006556646,train,0.75,0.75,0.0,0.002262,0.01177,False,small-sufficient
X51006556732,train,0.75,1.0,0.25,0.002039,0.011225,False,large-required
X51006554833,train,0.75,0.75,0.0,0.002021,0.009595,False,small-sufficient
X51006556726,train,0.75,0.75,0.0,0.002197,0.011355,False,small-sufficient
X51006556815,train,0.75,0.75,0.0,0.002215,0.011465,False,small-sufficient
X51006556738,train,0.75,0.75,0.0,0.00227,0.01178,False,small-sufficient
X51006556825,train,0.5,1.0,0.5,0.002221,0.011205,False,large-required
X51006556828,train,0.75,1.0,0.25,0.002268,0.01161,False,large-required
X51006556824,train,0.75,0.75,0.0,0.002274,0.011795,False,small-sufficient
X51006556830,train,0.75,1.0,0.25,0.002152,0.010905,False,large-required
X51006556831,train,0.75,1.0,0.25,0.002141,0.01085,False,large-required
X51006556840,train,0.75,0.75,0.0,0.002199,0.01138,False,small-sufficient
X51006556818,train,0.75,1.0,0.25,0.002218,0.01132,False,large-required
X51006556839,train,0.75,1.0,0.25,0.002066,0.011375,False,large-required
X51006556823,train,0.75,1.0,0.25,0.002201,0.01123,False,large-required
X51006557119,train,0.75,1.0,0.25,0.002172,0.01107,False,large-required
X51006556841,train,0.75,1.0,0.25,0.002202,0.01124,False,large-required
X51006557117,train,0.75,0.75,0.0,0.002243,0.011615,False,small-sufficient
X51006556861,train,0.75,0.75,0.0,0.002194,0.011345,False,small-sufficient
X51006557164,train,0.75,1.0,0.25,0.002219,0.01133,False,large-required
X51006557161,train,0.75,0.75,0.0,0.002194,0.01135,False,small-sufficient
X51006557168,train,0.75,0.75,0.0,0.002219,0.011485,False,small-sufficient
X51006557170,train,0.5,0.75,0.25,0.002212,0.01131,False,large-required
X51006556730,train,0.75,0.75,0.0,0.002005,0.009825,False,small-sufficient
X51006556852,train,0.75,0.75,0.0,0.002309,0.012,False,small-sufficient
X51006557178,train,0.75,0.75,0.0,0.002196,0.011355,False,small-sufficient
X51006557179,train,0.75,0.75,0.0,0.002039,0.011365,False,small-sufficient
X51006557185,train,0.75,0.75,0.0,0.00224,0.011605,False,small-sufficient
X51006557184,train,0.75,0.75,0.0,0.002196,0.011355,False,small-sufficient
